,station,fecha,latitude,longitude,elevation,name,report_type,source,sunrise,sunset,dailyaveragedewpointtemperature,dailyaveragedrybulbtemperature,dailyaveragerelativehumidity,dailyaveragesealevelpressure,dailyaveragestationpressure,dailyaveragewetbulbtemperature,dailyaveragewindspeed,dailymaximumdrybulbtemperature,dailyminimumdrybulbtemperature,dailypeakwinddirection,dailypeakwindspeed,dailyprecipitation,dailysustainedwinddirection,dailysustainedwindspeed,fecha_corta
31,72785024157,2019-09-01 23:59:00,47.6216,-117.528,717.2,"SPOKANE INTERNATIONAL AIRPORT, WA US",SOD,6,508.0,1831.0,47.0,75.0,39.0,29.9,27.47,58.0,7.7,86.0,64.0,240.0,24.0,0.0,250.0,20.0,2019-09-01
32,72637014826,2019-09-01 23:59:00,42.9666,-83.7494,234.7,"FLINT FCWOS, MI US",SOD,6,559.0,1910.0,55.0,64.0,75.0,30.17,29.36,58.0,3.0,70.0,57.0,160.0,12.0,0.12,160.0,9.0,2019-09-01
33,72644014925,2019-09-01 23:59:00,43.9041,-92.4916,397.5,"ROCHESTER INTERNATIONAL AIRPORT, MN US",SOD,6,533.0,1846.0,56.0,62.0,81.0,30.11,28.69,59.0,7.4,75.0,49.0,210.0,21.0,0.0,210.0,16.0,2019-09-01
34,70219026615,2019-09-01 23:59:00,60.785,-161.8293,31.1,"BETHEL AIRPORT, AK US",SOD,6,640.0,2053.0,51.0,58.0,83.0,29.12,28.97,54.0,12.6,64.0,52.0,110.0,31.0,0.16,120.0,23.0,2019-09-01
35,72745014913,2019-09-01 23:59:00,46.8369,-92.1833,436.8,"DULUTH INTERNATIONAL AIRPORT, MN US",SOD,6,528.0,1849.0,54.0,62.0,75.0,30.07,28.54,58.0,8.3,68.0,55.0,230.0,23.0,,210.0,16.0,2019-09-01
36,72532014842,2019-09-01 23:59:00,40.6675,-89.6839,198.1,"GENERAL WAYNE A. DOWNING INTERNATIONAL AIRPORT, IL US",SOD,6,526.0,1831.0,63.0,67.0,87.0,30.1,29.39,65.0,3.1,72.0,62.0,80.0,17.0,0.62,70.0,12.0,2019-09-01
37,72747014918,2019-09-01 23:59:00,48.5614,-93.3981,360.6,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",SOD,6,530.0,1856.0,53.0,54.0,91.0,30.04,28.77,54.0,2.6,65.0,42.0,310.0,12.0,0.03,310.0,9.0,2019-09-01
38,72226013895,2019-09-01 23:59:00,32.2997,-86.4075,61.6,"MONTGOMERY AIRPORT, AL US",SOD,6,521.0,1810.0,72.0,83.0,78.0,30.05,29.83,74.0,6.8,92.0,73.0,100.0,27.0,0.05,90.0,22.0,2019-09-01
39,72539014836,2019-09-01 23:59:00,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",SOD,6,603.0,1913.0,55.0,63.0,76.0,30.16,29.24,59.0,3.9,70.0,56.0,120.0,16.0,0.15,120.0,13.0,2019-09-01
40,72639094849,2019-09-01 23:59:00,45.0716,-83.5644,208.5,"ALPENA CO REGIONAL AIRPORT, MI US",SOD,6,556.0,1912.0,51.0,58.0,72.0,30.16,29.44,55.0,5.4,72.0,44.0,100.0,22.0,0.0,110.0,14.0,2019-09-01
41,72524014820,2019-09-01 23:59:00,41.4057,-81.852,238.0,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",SOD,6,553.0,1901.0,59.0,71.0,72.0,30.15,29.29,63.0,5.0,79.0,63.0,240.0,13.0,0.21,240.0,10.0,2019-09-01
42,72636014840,2019-09-01 23:59:00,43.17111,-86.23667,190.5,"MUSKEGON CO AIRPORT, MI US",SOD,6,609.0,1920.0,55.0,64.0,75.0,30.15,29.49,59.0,5.4,68.0,59.0,140.0,15.0,,110.0,10.0,2019-09-01
43,72434013994,2019-09-01 23:59:00,38.7525,-90.3736,161.8,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",SOD,6,530.0,1832.0,68.0,76.0,81.0,30.06,29.34,70.0,7.3,82.0,69.0,230.0,18.0,,250.0,13.0,2019-09-01
44,72308013737,2019-09-01 23:59:00,36.9033,-76.1922,9.1,"NORFOLK INTERNATIONAL AIRPORT, VA US",SOD,6,535.0,1834.0,72.0,79.0,81.0,30.19,30.16,74.0,8.4,84.0,73.0,80.0,21.0,,70.0,16.0,2019-09-01
45,72405013743,2019-09-01 23:59:00,38.8472,-77.03454,3.0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",SOD,6,537.0,1839.0,66.0,77.0,71.0,30.23,30.17,70.0,8.0,83.0,71.0,110.0,18.0,0.0,100.0,14.0,2019-09-01
46,72565003017,2019-09-01 23:59:00,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",SOD,6,526.0,1830.0,42.0,81.0,34.0,29.87,24.68,59.0,7.2,98.0,64.0,170.0,24.0,0.0,180.0,17.0,2019-09-01
47,72440013995,2019-09-01 23:59:00,37.23985,-93.39007,384.7,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",SOD,6,544.0,1843.0,66.0,75.0,78.0,30.09,28.76,69.0,3.1,85.0,65.0,10.0,11.0,0.0,340.0,8.0,2019-09-01
48,72658014922,2019-09-01 23:59:00,44.8831,-93.2289,265.8,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",SOD,6,535.0,1850.0,59.0,67.0,76.0,30.08,29.18,62.0,5.8,75.0,59.0,230.0,20.0,0.09,230.0,13.0,2019-09-01
49,72514014778,2019-09-01 23:59:00,41.24295,-76.9218,158.5,"WILLIAMSPORT REGIONAL AIRPORT, PA US",SOD,6,534.0,1841.0,56.0,65.0,73.0,30.24,29.7,60.0,5.1,74.0,56.0,130.0,20.0,,160.0,14.0,2019-09-01
